10 Creating 50 consumers
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-160.8918654 ,Running:740.063120127 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-145.843055502 ,Running:761.4343009 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-165.842183717 ,Running:762.944947004 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-150.916491401 ,Running:794.389518023 
Case:4, Node:[0.0, 0.0, 0.0] ,Feat:[0.1, 0.1, 0.10000000000000002] ,Func_value:-20.6240362769 ,Running:841.333217859 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-219.205714516 ,Running:857.431210995 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-196.867598937 ,Running:877.110074997 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-116.33445764 ,Running:896.325124979 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-135.221223778 ,Running:994.490483046 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-164.293444766 ,Running:1149.19583702 
Case:11, Node:[1.0, 0.3333333333333333, 0.5] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-43.9354239665 ,Running:1174.12020111 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-173.328985168 ,Running:1177.69910002 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-212.202669759 ,Running:1238.96682906 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-155.781175721 ,Running:1285.34363604 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-199.782045288 ,Running:1352.34849691 
Case:43, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-120.669476807 ,Running:1344.948735 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-154.060138186 ,Running:1376.66925192 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-167.541466102 ,Running:1407.03216791 
